Image,class_label,filename,target,target_name,split
00123,1,00123,2,Pants,train
00126,1,00126,2,Pants,train
00127,7,00127,3,Low-top shoes,train
00131,0,00131,1,Shirts,train
00133,6,00133,1,Shirts,train
00134,4,00134,0,Outerwear,train
00135,6,00135,1,Shirts,train
00136,2,00136,0,Outerwear,train
00137,5,00137,3,Low-top shoes,train
00139,2,00139,0,Outerwear,train
00141,3,00141,0,Outerwear,train
00142,5,00142,3,Low-top shoes,train
00143,6,00143,1,Shirts,train
00146,2,00146,0,Outerwear,train
00150,8,00150,4,Accessories,train
00151,5,00151,3,Low-top shoes,train
00152,1,00152,2,Pants,train
00153,3,00153,0,Outerwear,train
00154,7,00154,3,Low-top shoes,train
00155,7,00155,3,Low-top shoes,train
00156,4,00156,0,Outerwear,train
00157,5,00157,3,Low-top shoes,train
00158,1,00158,2,Pants,train
00159,4,00159,0,Outerwear,train
00161,4,00161,0,Outerwear,train
00164,0,00164,1,Shirts,train
00165,1,00165,2,Pants,train
00167,6,00167,1,Shirts,train
00168,1,00168,2,Pants,train
00169,0,00169,1,Shirts,train
00172,3,00172,0,Outerwear,train
00173,7,00173,3,Low-top shoes,train
00175,8,00175,4,Accessories,train
00176,1,00176,2,Pants,train
00177,3,00177,0,Outerwear,train
00179,0,00179,1,Shirts,train
00180,4,00180,0,Outerwear,train
00182,5,00182,3,Low-top shoes,train
00184,6,00184,1,Shirts,train
00185,4,00185,0,Outerwear,train
00186,4,00186,0,Outerwear,train
00187,3,00187,0,Outerwear,train
00188,3,00188,0,Outerwear,train
00189,0,00189,1,Shirts,train
00190,7,00190,3,Low-top shoes,train
00191,8,00191,4,Accessories,train
00192,0,00192,1,Shirts,train
00196,6,00196,1,Shirts,train
00197,3,00197,0,Outerwear,train
00199,0,00199,1,Shirts,train
00200,3,00200,0,Outerwear,train
00201,0,00201,1,Shirts,train
00203,3,00203,0,Outerwear,train
00204,6,00204,1,Shirts,train
00207,8,00207,4,Accessories,train
00208,0,00208,1,Shirts,train
00209,7,00209,3,Low-top shoes,train
00210,2,00210,0,Outerwear,train
00212,7,00212,3,Low-top shoes,train
00213,3,00213,0,Outerwear,train
00215,0,00215,1,Shirts,train
00216,6,00216,1,Shirts,train
00217,8,00217,4,Accessories,train
00218,8,00218,4,Accessories,train
00219,0,00219,1,Shirts,train
00220,6,00220,1,Shirts,train
00222,7,00222,3,Low-top shoes,train
00223,2,00223,0,Outerwear,train
00224,8,00224,4,Accessories,train
00225,2,00225,0,Outerwear,train
00226,0,00226,1,Shirts,train
00227,2,00227,0,Outerwear,train
00229,8,00229,4,Accessories,train
00230,4,00230,0,Outerwear,train
00231,8,00231,4,Accessories,train
00232,8,00232,4,Accessories,train
00233,1,00233,2,Pants,train
00234,7,00234,3,Low-top shoes,train
00235,4,00235,0,Outerwear,train
00236,4,00236,0,Outerwear,train
00238,0,00238,1,Shirts,train
00240,7,00240,3,Low-top shoes,train
00242,1,00242,2,Pants,train
00243,5,00243,3,Low-top shoes,train
00245,8,00245,4,Accessories,train
00246,4,00246,0,Outerwear,train
00248,8,00248,4,Accessories,train
00249,8,00249,4,Accessories,train
00251,0,00251,1,Shirts,train
00252,4,00252,0,Outerwear,train
00253,7,00253,3,Low-top shoes,train
00254,4,00254,0,Outerwear,train
00255,0,00255,1,Shirts,train
00256,6,00256,1,Shirts,train
00258,3,00258,0,Outerwear,train
00259,4,00259,0,Outerwear,train
00260,7,00260,3,Low-top shoes,train
00263,6,00263,1,Shirts,train
00265,8,00265,4,Accessories,train
00266,3,00266,0,Outerwear,train
00267,0,00267,1,Shirts,train
00270,8,00270,4,Accessories,train
00271,4,00271,0,Outerwear,train
00273,8,00273,4,Accessories,train
00275,4,00275,0,Outerwear,train
00276,5,00276,3,Low-top shoes,train
00277,1,00277,2,Pants,train
00278,4,00278,0,Outerwear,train
00279,0,00279,1,Shirts,train
00281,4,00281,0,Outerwear,train
00283,0,00283,1,Shirts,train
00285,5,00285,3,Low-top shoes,train
00288,7,00288,3,Low-top shoes,train
00289,8,00289,4,Accessories,train
00290,1,00290,2,Pants,train
00291,7,00291,3,Low-top shoes,train
00293,7,00293,3,Low-top shoes,train
00295,4,00295,0,Outerwear,train
00298,7,00298,3,Low-top shoes,train
00299,1,00299,2,Pants,train
00301,4,00301,0,Outerwear,train
00302,4,00302,0,Outerwear,train
00303,6,00303,1,Shirts,train
00304,7,00304,3,Low-top shoes,train
00305,4,00305,0,Outerwear,train
00306,3,00306,0,Outerwear,train
00308,5,00308,3,Low-top shoes,train
00310,3,00310,0,Outerwear,train
00312,5,00312,3,Low-top shoes,train
00314,1,00314,2,Pants,train
00315,6,00315,1,Shirts,train
00320,0,00320,1,Shirts,train
00323,1,00323,2,Pants,train
00324,0,00324,1,Shirts,train
00325,6,00325,1,Shirts,train
00326,5,00326,3,Low-top shoes,train
00327,0,00327,1,Shirts,train
00331,3,00331,0,Outerwear,train
00332,8,00332,4,Accessories,train
00333,4,00333,0,Outerwear,train
00334,7,00334,3,Low-top shoes,train
00335,3,00335,0,Outerwear,train
00337,2,00337,0,Outerwear,train
00341,6,00341,1,Shirts,train
00342,8,00342,4,Accessories,train
00343,2,00343,0,Outerwear,train
00344,5,00344,3,Low-top shoes,train
00346,8,00346,4,Accessories,train
00347,7,00347,3,Low-top shoes,train
00348,6,00348,1,Shirts,train
00349,2,00349,0,Outerwear,train
00350,7,00350,3,Low-top shoes,train
00353,4,00353,0,Outerwear,train
00354,3,00354,0,Outerwear,train
00355,3,00355,0,Outerwear,train
00357,7,00357,3,Low-top shoes,train
00358,0,00358,1,Shirts,train
00359,7,00359,3,Low-top shoes,train
00364,4,00364,0,Outerwear,train
00366,4,00366,0,Outerwear,train
00367,7,00367,3,Low-top shoes,train
00371,0,00371,1,Shirts,train
00373,8,00373,4,Accessories,train
00374,8,00374,4,Accessories,train
00375,7,00375,3,Low-top shoes,train
00377,8,00377,4,Accessories,train
00378,8,00378,4,Accessories,train
00379,0,00379,1,Shirts,train
00380,6,00380,1,Shirts,train
00381,0,00381,1,Shirts,train
00383,8,00383,4,Accessories,train
00384,0,00384,1,Shirts,train
00385,4,00385,0,Outerwear,train
00386,6,00386,1,Shirts,train
00388,4,00388,0,Outerwear,train
00390,1,00390,2,Pants,train
00391,5,00391,3,Low-top shoes,train
00393,2,00393,0,Outerwear,train
00394,0,00394,1,Shirts,train
00397,1,00397,2,Pants,train
00398,3,00398,0,Outerwear,train
00399,2,00399,0,Outerwear,train
00404,5,00404,3,Low-top shoes,train
00405,1,00405,2,Pants,train
00406,7,00406,3,Low-top shoes,train
00407,6,00407,1,Shirts,train
00411,4,00411,0,Outerwear,train
00412,4,00412,0,Outerwear,train
00413,5,00413,3,Low-top shoes,train
00415,6,00415,1,Shirts,train
00416,5,00416,3,Low-top shoes,train
00420,1,00420,2,Pants,train
00422,8,00422,4,Accessories,train
00423,2,00423,0,Outerwear,train
00425,1,00425,2,Pants,train
00427,4,00427,0,Outerwear,train
00430,5,00430,3,Low-top shoes,train
00431,7,00431,3,Low-top shoes,train
00434,4,00434,0,Outerwear,train
00435,6,00435,1,Shirts,train
00437,8,00437,4,Accessories,train
00439,8,00439,4,Accessories,train
00441,4,00441,0,Outerwear,train
00443,6,00443,1,Shirts,train
00444,3,00444,0,Outerwear,train
00445,6,00445,1,Shirts,train
00446,5,00446,3,Low-top shoes,train
00447,6,00447,1,Shirts,train
00450,8,00450,4,Accessories,train
00452,7,00452,3,Low-top shoes,train
00455,2,00455,0,Outerwear,train
00457,1,00457,2,Pants,train
00458,3,00458,0,Outerwear,train
00459,1,00459,2,Pants,train
00462,2,00462,0,Outerwear,train
00463,1,00463,2,Pants,train
00464,0,00464,1,Shirts,train
00466,7,00466,3,Low-top shoes,train
00467,2,00467,0,Outerwear,train
00468,1,00468,2,Pants,train
00469,7,00469,3,Low-top shoes,train
00470,7,00470,3,Low-top shoes,train
00471,1,00471,2,Pants,train
00472,7,00472,3,Low-top shoes,train
00474,7,00474,3,Low-top shoes,train
00475,3,00475,0,Outerwear,train
00476,0,00476,1,Shirts,train
00477,4,00477,0,Outerwear,train
00478,4,00478,0,Outerwear,train
00481,0,00481,1,Shirts,train
00482,5,00482,3,Low-top shoes,train
00483,8,00483,4,Accessories,train
00486,0,00486,1,Shirts,train
00489,3,00489,0,Outerwear,train
00491,1,00491,2,Pants,train
00492,6,00492,1,Shirts,train
00493,7,00493,3,Low-top shoes,train
00494,6,00494,1,Shirts,train
00497,7,00497,3,Low-top shoes,train
00500,4,00500,0,Outerwear,train
00501,0,00501,1,Shirts,train
00502,3,00502,0,Outerwear,train
00505,2,00505,0,Outerwear,train
00508,5,00508,3,Low-top shoes,train
00509,4,00509,0,Outerwear,train
00510,2,00510,0,Outerwear,train
00511,1,00511,2,Pants,train
00518,4,00518,0,Outerwear,train
00519,5,00519,3,Low-top shoes,train
00520,8,00520,4,Accessories,train
00521,1,00521,2,Pants,train
00524,7,00524,3,Low-top shoes,train
00526,8,00526,4,Accessories,train
00527,5,00527,3,Low-top shoes,train
00528,5,00528,3,Low-top shoes,train
00530,2,00530,0,Outerwear,train
00531,2,00531,0,Outerwear,train
00532,4,00532,0,Outerwear,train
00536,3,00536,0,Outerwear,train
00537,5,00537,3,Low-top shoes,train
00542,5,00542,3,Low-top shoes,train
00544,4,00544,0,Outerwear,train
00545,2,00545,0,Outerwear,train
00548,7,00548,3,Low-top shoes,train
00549,5,00549,3,Low-top shoes,train
00553,2,00553,0,Outerwear,train
00554,0,00554,1,Shirts,train
00558,7,00558,3,Low-top shoes,train
00559,6,00559,1,Shirts,train
00561,3,00561,0,Outerwear,train
00562,5,00562,3,Low-top shoes,train
00565,3,00565,0,Outerwear,train
00566,7,00566,3,Low-top shoes,train
00567,0,00567,1,Shirts,train
00568,6,00568,1,Shirts,train
00569,2,00569,0,Outerwear,train
00570,0,00570,1,Shirts,train
00572,6,00572,1,Shirts,train
00573,4,00573,0,Outerwear,train
00574,0,00574,1,Shirts,train
00576,3,00576,0,Outerwear,train
00577,3,00577,0,Outerwear,train
00578,2,00578,0,Outerwear,train
00580,7,00580,3,Low-top shoes,train
00583,8,00583,4,Accessories,train
00584,5,00584,3,Low-top shoes,train
00586,5,00586,3,Low-top shoes,train
00587,7,00587,3,Low-top shoes,train
00588,2,00588,0,Outerwear,train
00589,4,00589,0,Outerwear,train
00593,0,00593,1,Shirts,train
00594,7,00594,3,Low-top shoes,train
00595,6,00595,1,Shirts,train
00598,3,00598,0,Outerwear,train
00599,0,00599,1,Shirts,train
00600,3,00600,0,Outerwear,train
00601,8,00601,4,Accessories,train
00602,3,00602,0,Outerwear,train
00604,5,00604,3,Low-top shoes,train
00605,2,00605,0,Outerwear,train
00606,7,00606,3,Low-top shoes,train
00607,6,00607,1,Shirts,train
00609,6,00609,1,Shirts,train
00613,0,00613,1,Shirts,train
00615,1,00615,2,Pants,train
00616,6,00616,1,Shirts,train
00617,5,00617,3,Low-top shoes,train
00618,5,00618,3,Low-top shoes,train
00619,8,00619,4,Accessories,train
00620,5,00620,3,Low-top shoes,train
00621,5,00621,3,Low-top shoes,train
00622,3,00622,0,Outerwear,train
00623,2,00623,0,Outerwear,train
00625,1,00625,2,Pants,train
00627,6,00627,1,Shirts,train
00628,8,00628,4,Accessories,train
00629,0,00629,1,Shirts,train
00630,5,00630,3,Low-top shoes,train
00632,6,00632,1,Shirts,train
00635,2,00635,0,Outerwear,train
00636,0,00636,1,Shirts,train
00637,6,00637,1,Shirts,train
00638,7,00638,3,Low-top shoes,train
00639,3,00639,0,Outerwear,train
00640,4,00640,0,Outerwear,train
00643,4,00643,0,Outerwear,train
00645,8,00645,4,Accessories,train
00646,4,00646,0,Outerwear,train
00649,6,00649,1,Shirts,train
00650,7,00650,3,Low-top shoes,train
00652,6,00652,1,Shirts,train
00653,2,00653,0,Outerwear,train
00654,3,00654,0,Outerwear,train
00657,2,00657,0,Outerwear,train
00658,3,00658,0,Outerwear,train
00660,7,00660,3,Low-top shoes,train
00662,2,00662,0,Outerwear,train
00664,0,00664,1,Shirts,train
00667,7,00667,3,Low-top shoes,train
00669,2,00669,0,Outerwear,train
00670,4,00670,0,Outerwear,train
00671,3,00671,0,Outerwear,train
00672,7,00672,3,Low-top shoes,train
00673,4,00673,0,Outerwear,train
00676,0,00676,1,Shirts,train
00681,8,00681,4,Accessories,train
00682,0,00682,1,Shirts,train
00687,2,00687,0,Outerwear,train
00688,2,00688,0,Outerwear,train
00689,0,00689,1,Shirts,train
00690,5,00690,3,Low-top shoes,train
00691,4,00691,0,Outerwear,train
00694,4,00694,0,Outerwear,train
00695,6,00695,1,Shirts,train
00696,1,00696,2,Pants,train
00697,0,00697,1,Shirts,train
00698,1,00698,2,Pants,train
00703,4,00703,0,Outerwear,train
00704,1,00704,2,Pants,train
00705,2,00705,0,Outerwear,train
00706,8,00706,4,Accessories,train
00707,1,00707,2,Pants,train
00708,0,00708,1,Shirts,train
00709,0,00709,1,Shirts,train
00710,4,00710,0,Outerwear,train
00711,1,00711,2,Pants,train
00712,1,00712,2,Pants,train
00715,3,00715,0,Outerwear,train
00717,3,00717,0,Outerwear,train
00718,6,00718,1,Shirts,train
00719,3,00719,0,Outerwear,train
00721,5,00721,3,Low-top shoes,train
00722,0,00722,1,Shirts,train
00723,6,00723,1,Shirts,train
00724,3,00724,0,Outerwear,train
00726,0,00726,1,Shirts,train
00727,0,00727,1,Shirts,train
00728,8,00728,4,Accessories,train
00729,6,00729,1,Shirts,train
00730,2,00730,0,Outerwear,train
00731,4,00731,0,Outerwear,train
00732,3,00732,0,Outerwear,train
00733,1,00733,2,Pants,train
00735,6,00735,1,Shirts,train
00736,8,00736,4,Accessories,train
00737,4,00737,0,Outerwear,train
00739,6,00739,1,Shirts,train
00740,1,00740,2,Pants,train
00741,8,00741,4,Accessories,train
00744,0,00744,1,Shirts,train
00745,7,00745,3,Low-top shoes,train
00750,6,00750,1,Shirts,train
00751,0,00751,1,Shirts,train
00753,5,00753,3,Low-top shoes,train
00754,1,00754,2,Pants,train
00755,0,00755,1,Shirts,train
00757,2,00757,0,Outerwear,train
00759,5,00759,3,Low-top shoes,train
00760,3,00760,0,Outerwear,train
00761,0,00761,1,Shirts,train
00764,1,00764,2,Pants,train
00765,3,00765,0,Outerwear,train
00767,8,00767,4,Accessories,train
00768,8,00768,4,Accessories,train
00769,8,00769,4,Accessories,train
00772,4,00772,0,Outerwear,train
00773,4,00773,0,Outerwear,train
00774,4,00774,0,Outerwear,train
00777,8,00777,4,Accessories,train
00778,5,00778,3,Low-top shoes,train
00779,8,00779,4,Accessories,train
00784,2,00784,0,Outerwear,train
00785,1,00785,2,Pants,train
00786,1,00786,2,Pants,train
00787,4,00787,0,Outerwear,train
00788,8,00788,4,Accessories,train
00789,1,00789,2,Pants,train
00794,6,00794,1,Shirts,train
00795,4,00795,0,Outerwear,train
00798,4,00798,0,Outerwear,train
00799,3,00799,0,Outerwear,train
00800,8,00800,4,Accessories,train
00801,3,00801,0,Outerwear,train
00807,4,00807,0,Outerwear,train
00809,8,00809,4,Accessories,train
00810,5,00810,3,Low-top shoes,train
00811,0,00811,1,Shirts,train
00812,2,00812,0,Outerwear,train
00814,0,00814,1,Shirts,train
00818,2,00818,0,Outerwear,train
00819,4,00819,0,Outerwear,train
00820,5,00820,3,Low-top shoes,train
00821,7,00821,3,Low-top shoes,train
00822,3,00822,0,Outerwear,train
00827,2,00827,0,Outerwear,train
00828,4,00828,0,Outerwear,train
00829,8,00829,4,Accessories,train
00830,1,00830,2,Pants,train
00833,6,00833,1,Shirts,train
00834,5,00834,3,Low-top shoes,train
00835,5,00835,3,Low-top shoes,train
00838,7,00838,3,Low-top shoes,train
00839,0,00839,1,Shirts,train
00840,4,00840,0,Outerwear,train
00841,4,00841,0,Outerwear,train
00843,6,00843,1,Shirts,train
00845,5,00845,3,Low-top shoes,train
00846,5,00846,3,Low-top shoes,train
00847,8,00847,4,Accessories,train
00848,7,00848,3,Low-top shoes,train
00849,7,00849,3,Low-top shoes,train
00850,0,00850,1,Shirts,train
00851,4,00851,0,Outerwear,train
00852,7,00852,3,Low-top shoes,train
00854,8,00854,4,Accessories,train
00855,8,00855,4,Accessories,train
00856,2,00856,0,Outerwear,train
00857,1,00857,2,Pants,train
00858,1,00858,2,Pants,train
00861,5,00861,3,Low-top shoes,train
00862,7,00862,3,Low-top shoes,train
00864,3,00864,0,Outerwear,train
00868,7,00868,3,Low-top shoes,train
00872,7,00872,3,Low-top shoes,train
00873,4,00873,0,Outerwear,train
00874,0,00874,1,Shirts,train
00875,1,00875,2,Pants,train
00876,0,00876,1,Shirts,train
00877,4,00877,0,Outerwear,train
00879,2,00879,0,Outerwear,train
00880,4,00880,0,Outerwear,train
00881,6,00881,1,Shirts,train
00884,3,00884,0,Outerwear,train
00885,0,00885,1,Shirts,train
00886,5,00886,3,Low-top shoes,train
00889,6,00889,1,Shirts,train
00891,4,00891,0,Outerwear,train
00892,2,00892,0,Outerwear,train
00893,6,00893,1,Shirts,train
00895,8,00895,4,Accessories,train
00897,8,00897,4,Accessories,train
00899,0,00899,1,Shirts,train
00900,4,00900,0,Outerwear,train
00901,3,00901,0,Outerwear,train
00902,1,00902,2,Pants,train
00903,5,00903,3,Low-top shoes,train
00904,2,00904,0,Outerwear,train
00907,2,00907,0,Outerwear,train
00908,7,00908,3,Low-top shoes,train
00910,3,00910,0,Outerwear,train
00911,7,00911,3,Low-top shoes,train
00912,3,00912,0,Outerwear,train
00913,4,00913,0,Outerwear,train
00915,8,00915,4,Accessories,train
00916,3,00916,0,Outerwear,train
00917,1,00917,2,Pants,train
00920,6,00920,1,Shirts,train
00921,2,00921,0,Outerwear,train
00922,3,00922,0,Outerwear,train
00923,7,00923,3,Low-top shoes,train
00924,7,00924,3,Low-top shoes,train
00925,7,00925,3,Low-top shoes,train
00927,4,00927,0,Outerwear,train
00928,4,00928,0,Outerwear,train
00930,1,00930,2,Pants,train
00932,3,00932,0,Outerwear,train
00934,5,00934,3,Low-top shoes,train
00936,1,00936,2,Pants,train
00938,0,00938,1,Shirts,train
00939,3,00939,0,Outerwear,train
00941,4,00941,0,Outerwear,train
00942,5,00942,3,Low-top shoes,train
00943,2,00943,0,Outerwear,train
00944,7,00944,3,Low-top shoes,train
00946,1,00946,2,Pants,train
00949,1,00949,2,Pants,train
00950,5,00950,3,Low-top shoes,train
00951,4,00951,0,Outerwear,train
00952,5,00952,3,Low-top shoes,train
00954,6,00954,1,Shirts,train
00955,5,00955,3,Low-top shoes,train
00956,6,00956,1,Shirts,train
00957,8,00957,4,Accessories,train
00959,6,00959,1,Shirts,train
00960,0,00960,1,Shirts,train
00964,1,00964,2,Pants,train
00966,0,00966,1,Shirts,train
00967,6,00967,1,Shirts,train
00968,0,00968,1,Shirts,train
00969,8,00969,4,Accessories,train
00970,3,00970,0,Outerwear,train
00973,0,00973,1,Shirts,train
00975,2,00975,0,Outerwear,train
00977,8,00977,4,Accessories,train
00980,3,00980,0,Outerwear,train
00981,8,00981,4,Accessories,train
00982,6,00982,1,Shirts,train
00984,7,00984,3,Low-top shoes,train
00985,4,00985,0,Outerwear,train
00986,5,00986,3,Low-top shoes,train
00988,2,00988,0,Outerwear,train
00990,0,00990,1,Shirts,train
00991,3,00991,0,Outerwear,train
00992,1,00992,2,Pants,train
00996,0,00996,1,Shirts,train
00997,8,00997,4,Accessories,train
00998,0,00998,1,Shirts,train
00999,7,00999,3,Low-top shoes,train
01002,0,01002,1,Shirts,train
01003,7,01003,3,Low-top shoes,train
01006,8,01006,4,Accessories,train
01007,5,01007,3,Low-top shoes,train
01010,6,01010,1,Shirts,train
01012,4,01012,0,Outerwear,train
01013,7,01013,3,Low-top shoes,train
01014,3,01014,0,Outerwear,train
01015,3,01015,0,Outerwear,train
01016,2,01016,0,Outerwear,train
01019,6,01019,1,Shirts,train
01020,5,01020,3,Low-top shoes,train
01021,8,01021,4,Accessories,train
01022,6,01022,1,Shirts,train
01024,1,01024,2,Pants,train
01025,0,01025,1,Shirts,train
01026,1,01026,2,Pants,train
01029,1,01029,2,Pants,train
01030,0,01030,1,Shirts,train
01031,7,01031,3,Low-top shoes,train
01032,3,01032,0,Outerwear,train
01033,1,01033,2,Pants,train
01034,1,01034,2,Pants,train
01035,8,01035,4,Accessories,train
01036,8,01036,4,Accessories,train
01037,6,01037,1,Shirts,train
01038,1,01038,2,Pants,train
01041,7,01041,3,Low-top shoes,train
01042,5,01042,3,Low-top shoes,train
01044,0,01044,1,Shirts,train
01045,6,01045,1,Shirts,train
01046,6,01046,1,Shirts,train
01048,0,01048,1,Shirts,train
01050,4,01050,0,Outerwear,train
01051,5,01051,3,Low-top shoes,train
01052,1,01052,2,Pants,train
01055,4,01055,0,Outerwear,train
01056,5,01056,3,Low-top shoes,train
01058,4,01058,0,Outerwear,train
01059,2,01059,0,Outerwear,train
01060,1,01060,2,Pants,train
01061,6,01061,1,Shirts,train
01064,1,01064,2,Pants,train
01065,8,01065,4,Accessories,train
01066,4,01066,0,Outerwear,train
01067,0,01067,1,Shirts,train
01069,8,01069,4,Accessories,train
01072,6,01072,1,Shirts,train
01073,3,01073,0,Outerwear,train
01074,1,01074,2,Pants,train
01075,7,01075,3,Low-top shoes,train
01076,7,01076,3,Low-top shoes,train
01077,2,01077,0,Outerwear,train
01078,4,01078,0,Outerwear,train
01080,6,01080,1,Shirts,train
01082,2,01082,0,Outerwear,train
01083,5,01083,3,Low-top shoes,train
01084,7,01084,3,Low-top shoes,train
01085,8,01085,4,Accessories,train
01087,1,01087,2,Pants,train
01089,0,01089,1,Shirts,train
01090,5,01090,3,Low-top shoes,train
01091,4,01091,0,Outerwear,train
01093,7,01093,3,Low-top shoes,train
01094,4,01094,0,Outerwear,train
01095,0,01095,1,Shirts,train
01098,3,01098,0,Outerwear,train
01099,0,01099,1,Shirts,train
01101,4,01101,0,Outerwear,train
01102,8,01102,4,Accessories,train
01103,7,01103,3,Low-top shoes,train
01104,6,01104,1,Shirts,train
01105,3,01105,0,Outerwear,train
01110,8,01110,4,Accessories,train
01111,4,01111,0,Outerwear,train
01112,7,01112,3,Low-top shoes,train
01114,1,01114,2,Pants,train
01115,5,01115,3,Low-top shoes,train
01116,6,01116,1,Shirts,train
01117,2,01117,0,Outerwear,train
01118,3,01118,0,Outerwear,train
01119,6,01119,1,Shirts,train
01121,1,01121,2,Pants,train
01122,5,01122,3,Low-top shoes,train
01123,8,01123,4,Accessories,train
01124,1,01124,2,Pants,train
01125,2,01125,0,Outerwear,train
01129,6,01129,1,Shirts,train
01131,5,01131,3,Low-top shoes,train
01133,5,01133,3,Low-top shoes,train
01134,3,01134,0,Outerwear,train
01136,7,01136,3,Low-top shoes,train
01137,7,01137,3,Low-top shoes,train
01139,8,01139,4,Accessories,train
01141,1,01141,2,Pants,train
01144,8,01144,4,Accessories,train
01147,5,01147,3,Low-top shoes,train
01149,0,01149,1,Shirts,train
01150,1,01150,2,Pants,train
01153,7,01153,3,Low-top shoes,train
01154,8,01154,4,Accessories,train
01155,8,01155,4,Accessories,train
01158,4,01158,0,Outerwear,train
01159,3,01159,0,Outerwear,train
01160,2,01160,0,Outerwear,train
01161,0,01161,1,Shirts,train
01164,0,01164,1,Shirts,train
01167,1,01167,2,Pants,train
01169,2,01169,0,Outerwear,train
01170,6,01170,1,Shirts,train
01172,4,01172,0,Outerwear,train
01175,6,01175,1,Shirts,train
01179,0,01179,1,Shirts,train
01181,7,01181,3,Low-top shoes,train
01183,4,01183,0,Outerwear,train
01186,2,01186,0,Outerwear,train
01189,5,01189,3,Low-top shoes,train
01190,0,01190,1,Shirts,train
01192,0,01192,1,Shirts,train
01195,4,01195,0,Outerwear,train
01196,3,01196,0,Outerwear,train
01197,8,01197,4,Accessories,train
01199,6,01199,1,Shirts,train
01201,8,01201,4,Accessories,train
01203,4,01203,0,Outerwear,train
01205,2,01205,0,Outerwear,train
01206,0,01206,1,Shirts,train
01207,6,01207,1,Shirts,train
01210,4,01210,0,Outerwear,train
01211,1,01211,2,Pants,train
01212,6,01212,1,Shirts,train
01214,0,01214,1,Shirts,train
01215,8,01215,4,Accessories,train
01218,1,01218,2,Pants,train
01219,1,01219,2,Pants,train
01220,1,01220,2,Pants,train
01221,5,01221,3,Low-top shoes,train
01222,2,01222,0,Outerwear,train
01223,8,01223,4,Accessories,train
01224,1,01224,2,Pants,train
01227,0,01227,1,Shirts,train
01228,1,01228,2,Pants,train
01232,1,01232,2,Pants,train
01233,5,01233,3,Low-top shoes,train
01236,2,01236,0,Outerwear,train
01239,4,01239,0,Outerwear,train
01240,6,01240,1,Shirts,train
01242,0,01242,1,Shirts,train
01243,3,01243,0,Outerwear,train
01246,5,01246,3,Low-top shoes,train
01247,2,01247,0,Outerwear,train
01249,2,01249,0,Outerwear,train
01250,4,01250,0,Outerwear,train
01254,1,01254,2,Pants,train
01255,1,01255,2,Pants,train
01256,6,01256,1,Shirts,train
01257,7,01257,3,Low-top shoes,train
01259,6,01259,1,Shirts,train
01261,3,01261,0,Outerwear,train
01262,0,01262,1,Shirts,train
01263,4,01263,0,Outerwear,train
